22:24:07.658 -> Flap opened
22:24:08.200 -> Flap closed
22:24:08.785 -> Flap opened
22:24:09.338 -> Flap closed
22:24:12.609 -> State: idle, AvgTemp: 20.80, MaxTemp: 25.06, MinTemp: 17.69
22:24:17.592 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.06, MinTemp: 17.69
22:24:22.578 -> State: idle, AvgTemp: 20.83, MaxTemp: 25.06, MinTemp: 17.75
22:24:27.599 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.06, MinTemp: 17.75
22:24:32.588 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.06, MinTemp: 17.75
22:24:37.578 -> State: idle, AvgTemp: 20.80, MaxTemp: 25.06, MinTemp: 17.75
22:24:42.696 -> State: idle, AvgTemp: 20.78, MaxTemp: 25.06, MinTemp: 17.69
22:24:47.853 -> State: idle, AvgTemp: 20.80, MaxTemp: 25.06, MinTemp: 17.75
22:24:52.984 -> State: idle, AvgTemp: 20.80, MaxTemp: 25.06, MinTemp: 17.75
22:24:58.146 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.12, MinTemp: 17.75
22:25:03.274 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.12, MinTemp: 17.75
22:25:08.434 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.12, MinTemp: 17.75
22:25:13.587 -> State: idle, AvgTemp: 20.80, MaxTemp: 25.12, MinTemp: 17.75
22:25:18.747 -> State: idle, AvgTemp: 20.80, MaxTemp: 25.19, MinTemp: 17.69
22:25:23.878 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.19, MinTemp: 17.75
22:25:29.038 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.19, MinTemp: 17.75
22:25:34.207 -> State: idle, AvgTemp: 20.83, MaxTemp: 25.25, MinTemp: 17.75
22:25:39.334 -> State: idle, AvgTemp: 20.81, MaxTemp: 25.25, MinTemp: 17.75
22:25:44.494 -> State: idle, AvgTemp: 20.83, MaxTemp: 25.31, MinTemp: 17.75
22:25:49.660 -> State: idle, AvgTemp: 20.83, MaxTemp: 25.31, MinTemp: 17.75
22:25:54.792 -> State: idle, AvgTemp: 20.84, MaxTemp: 25.37, MinTemp: 17.75
22:25:59.954 -> State: idle, AvgTemp: 20.84, MaxTemp: 25.44, MinTemp: 17.69
22:26:05.096 -> State: idle, AvgTemp: 20.86, MaxTemp: 25.50, MinTemp: 17.75
22:26:10.253 -> State: idle, AvgTemp: 20.86, MaxTemp: 25.50, MinTemp: 17.75
22:26:15.410 -> State: idle, AvgTemp: 20.87, MaxTemp: 25.56, MinTemp: 17.69
22:26:20.549 -> State: idle, AvgTemp: 20.89, MaxTemp: 25.62, MinTemp: 17.75
22:26:25.714 -> State: idle, AvgTemp: 20.91, MaxTemp: 25.69, MinTemp: 17.75
22:26:30.844 -> State: idle, AvgTemp: 20.91, MaxTemp: 25.75, MinTemp: 17.69
22:26:35.996 -> State: idle, AvgTemp: 20.89, MaxTemp: 25.75, MinTemp: 17.69
22:26:41.159 -> State: idle, AvgTemp: 20.94, MaxTemp: 25.81, MinTemp: 17.75
22:26:46.299 -> State: idle, AvgTemp: 20.95, MaxTemp: 25.87, MinTemp: 17.75
22:26:51.460 -> State: idle, AvgTemp: 20.95, MaxTemp: 25.94, MinTemp: 17.69
22:26:56.596 -> State: idle, AvgTemp: 20.95, MaxTemp: 26.00, MinTemp: 17.69
22:27:01.761 -> State: idle, AvgTemp: 20.97, MaxTemp: 26.06, MinTemp: 17.69
22:27:06.892 -> State: idle, AvgTemp: 20.97, MaxTemp: 26.06, MinTemp: 17.69
22:27:12.057 -> State: idle, AvgTemp: 21.00, MaxTemp: 26.12, MinTemp: 17.69
22:27:17.215 -> State: idle, AvgTemp: 21.02, MaxTemp: 26.19, MinTemp: 17.69
22:27:22.344 -> State: idle, AvgTemp: 21.03, MaxTemp: 26.25, MinTemp: 17.69
22:27:27.515 -> State: idle, AvgTemp: 21.06, MaxTemp: 26.31, MinTemp: 17.75
22:27:32.647 -> State: idle, AvgTemp: 21.08, MaxTemp: 26.37, MinTemp: 17.75
22:27:37.815 -> State: idle, AvgTemp: 21.09, MaxTemp: 26.44, MinTemp: 17.75
22:27:42.950 -> State: idle, AvgTemp: 21.09, MaxTemp: 26.50, MinTemp: 17.69
22:27:48.104 -> State: idle, AvgTemp: 21.12, MaxTemp: 26.56, MinTemp: 17.75
22:27:53.258 -> State: idle, AvgTemp: 21.14, MaxTemp: 26.62, MinTemp: 17.75
22:27:58.420 -> State: idle, AvgTemp: 21.14, MaxTemp: 26.62, MinTemp: 17.75
22:28:03.553 -> State: idle, AvgTemp: 21.16, MaxTemp: 26.69, MinTemp: 17.75
22:28:08.724 -> State: idle, AvgTemp: 21.17, MaxTemp: 26.75, MinTemp: 17.75
22:28:13.862 -> State: idle, AvgTemp: 21.19, MaxTemp: 26.81, MinTemp: 17.75
22:28:19.019 -> State: idle, AvgTemp: 21.20, MaxTemp: 26.87, MinTemp: 17.75
22:28:24.145 -> State: idle, AvgTemp: 21.22, MaxTemp: 26.94, MinTemp: 17.75
22:28:29.304 -> State: idle, AvgTemp: 21.23, MaxTemp: 27.00, MinTemp: 17.75
22:28:34.470 -> State: idle, AvgTemp: 21.25, MaxTemp: 27.06, MinTemp: 17.75
22:28:39.622 -> State: idle, AvgTemp: 21.28, MaxTemp: 27.12, MinTemp: 17.75
22:28:44.750 -> State: idle, AvgTemp: 21.30, MaxTemp: 27.19, MinTemp: 17.75
22:28:49.913 -> State: idle, AvgTemp: 21.31, MaxTemp: 27.25, MinTemp: 17.75
22:28:55.073 -> State: idle, AvgTemp: 21.33, MaxTemp: 27.31, MinTemp: 17.75
22:29:00.230 -> State: idle, AvgTemp: 21.34, MaxTemp: 27.37, MinTemp: 17.75
22:29:05.361 -> State: idle, AvgTemp: 21.37, MaxTemp: 27.44, MinTemp: 17.81
22:29:10.520 -> State: idle, AvgTemp: 21.37, MaxTemp: 27.44, MinTemp: 17.81
22:29:15.680 -> State: idle, AvgTemp: 21.39, MaxTemp: 27.50, MinTemp: 17.81
22:29:20.808 -> State: idle, AvgTemp: 21.41, MaxTemp: 27.56, MinTemp: 17.81
22:29:25.973 -> State: idle, AvgTemp: 21.44, MaxTemp: 27.62, MinTemp: 17.81
22:29:31.104 -> State: idle, AvgTemp: 21.45, MaxTemp: 27.69, MinTemp: 17.81
22:29:36.272 -> State: idle, AvgTemp: 21.47, MaxTemp: 27.75, MinTemp: 17.81
22:29:41.425 -> State: idle, AvgTemp: 21.48, MaxTemp: 27.81, MinTemp: 17.81
22:29:46.584 -> State: idle, AvgTemp: 21.52, MaxTemp: 27.87, MinTemp: 17.87
22:29:51.716 -> State: idle, AvgTemp: 21.53, MaxTemp: 27.94, MinTemp: 17.87
22:29:56.876 -> State: idle, AvgTemp: 21.55, MaxTemp: 28.00, MinTemp: 17.87
22:30:02.025 -> State: idle, AvgTemp: 21.58, MaxTemp: 28.06, MinTemp: 17.87
22:30:07.185 -> State: idle, AvgTemp: 21.59, MaxTemp: 28.12, MinTemp: 17.87
22:30:12.306 -> State: idle, AvgTemp: 21.61, MaxTemp: 28.19, MinTemp: 17.87
22:30:17.467 -> State: idle, AvgTemp: 21.64, MaxTemp: 28.25, MinTemp: 17.87
22:30:22.641 -> State: idle, AvgTemp: 21.66, MaxTemp: 28.31, MinTemp: 17.94
22:30:27.762 -> State: idle, AvgTemp: 21.69, MaxTemp: 28.37, MinTemp: 17.94
22:30:32.923 -> State: idle, AvgTemp: 21.70, MaxTemp: 28.44, MinTemp: 17.94
22:30:38.064 -> State: idle, AvgTemp: 21.73, MaxTemp: 28.50, MinTemp: 17.94
22:30:43.227 -> State: idle, AvgTemp: 21.75, MaxTemp: 28.56, MinTemp: 17.94
22:30:48.362 -> State: idle, AvgTemp: 21.80, MaxTemp: 28.69, MinTemp: 18.00
22:30:53.533 -> State: idle, AvgTemp: 21.81, MaxTemp: 28.75, MinTemp: 18.00
22:30:58.687 -> State: idle, AvgTemp: 21.83, MaxTemp: 28.81, MinTemp: 18.00
22:31:03.817 -> State: idle, AvgTemp: 21.86, MaxTemp: 28.87, MinTemp: 18.00
22:31:08.983 -> State: idle, AvgTemp: 21.87, MaxTemp: 28.94, MinTemp: 18.00
22:31:14.145 -> State: idle, AvgTemp: 21.91, MaxTemp: 29.00, MinTemp: 18.06
22:31:19.286 -> State: idle, AvgTemp: 21.94, MaxTemp: 29.06, MinTemp: 18.06
22:31:24.434 -> State: idle, AvgTemp: 21.95, MaxTemp: 29.12, MinTemp: 18.06
22:31:29.584 -> State: idle, AvgTemp: 21.97, MaxTemp: 29.19, MinTemp: 18.06
22:31:34.717 -> State: idle, AvgTemp: 22.02, MaxTemp: 29.31, MinTemp: 18.12
22:31:39.880 -> State: idle, AvgTemp: 22.03, MaxTemp: 29.37, MinTemp: 18.12
22:31:45.043 -> State: idle, AvgTemp: 22.06, MaxTemp: 29.44, MinTemp: 18.12
22:31:50.169 -> State: idle, AvgTemp: 22.09, MaxTemp: 29.50, MinTemp: 18.19
22:31:55.346 -> State: idle, AvgTemp: 22.12, MaxTemp: 29.56, MinTemp: 18.19
